=== Harness Eval: Configuring ccr ===
ccr config written.
git workspace initialized.
=== Starting ccr service ===
Loaded JSON config from: /home/agent/.claude-code-router/config.json
=== Starting model proxy ===
Model proxy listening on 127.0.0.1:3457, forwarding to CCR on 3456
Provider proxy listening on 127.0.0.1:3458, upstream effort=high
=== Starting Claude Code ===
[req #1] 2275ms | in=327 out=79 (api)
[req #2] 3684ms | in=31717 out=104 (api)
[req #3] 2238ms | in=11168 out=66 (api)
[req #4] 3368ms | in=12518 out=134 (api)
[req #5] 4411ms | in=23545 out=135 (api)
[req #6] 3528ms | in=36267 out=115 (api)
[req #7] 3624ms | in=46560 out=98 (api)
[req #8] 3845ms | in=52114 out=55 (api)
[req #9] 5146ms | in=56295 out=113 (api)
[req #10] 6899ms | in=56426 out=269 (api)
[req #11] 3299ms | in=56768 out=19 (api)
[req #12] 21787ms | in=56795 out=1282 (api)
[req #13] 3713ms | in=58109 out=35 (api)
[req #14] 25051ms | in=58157 out=1488 (api)
[req #15] 4118ms | in=59676 out=35 (api)
[req #16] 22286ms | in=59727 out=1360 (api)
[req #17] 4425ms | in=82430 out=35 (api)
[req #18] 19753ms | in=61169 out=1263 (api)
[req #19] 3747ms | in=62463 out=35 (api)
[req #20] 18426ms | in=83441 out=1168 (api)
[req #21] 5684ms | in=63711 out=35 (api)
[req #22] 4410ms | in=63763 out=49 (api)
[req #23] 94868ms | in=65341 out=6251 (api)
[req #24] 5031ms | in=71623 out=35 (api)
[req #25] 6022ms | in=71675 out=47 (api)
[req #26] 5474ms | in=71742 out=45 (api)
[req #27] 4621ms | in=71804 out=39 (api)
[req #28] 4838ms | in=71848 out=110 (api)
[req #29] 5959ms | in=71992 out=70 (api)
[req #30] 5596ms | in=72140 out=60 (api)
[req #31] 5235ms | in=72271 out=56 (api)
[req #32] 4627ms | in=72419 out=42 (api)
[req #33] 19564ms | in=72663 out=1337 (api)
[req #34] 4862ms | in=74037 out=58 (api)
[req #35] 5171ms | in=74149 out=40 (api)
[req #36] 6094ms | in=74233 out=51 (api)
[req #37] 5867ms | in=74904 out=79 (api)
[req #38] 7239ms | in=75235 out=267 (api)
[req #39] 8121ms | in=75714 out=330 (api)
[req #40] 5877ms | in=76076 out=81 (api)
[req #41] 6966ms | in=76194 out=141 (api)
[req #42] 9704ms | in=76366 out=527 (api)
[req #43] 5404ms | in=76925 out=54 (api)
[req #44] 5282ms | in=77272 out=76 (api)
[req #45] 5358ms | in=77568 out=71 (api)
[req #46] 8582ms | in=78115 out=298 (api)
[req #47] 6979ms | in=78430 out=85 (api)
[req #48] 4700ms | in=78553 out=35 (api)
[req #49] 5712ms | in=78834 out=47 (api)
[req #50] 6565ms | in=78915 out=95 (api)
[req #51] 5506ms | in=79049 out=85 (api)
[req #52] 5510ms | in=79351 out=88 (api)
[req #53] 9475ms | in=79482 out=110 (api)
[req #54] 5166ms | in=79632 out=37 (api)
[req #55] 5222ms | in=79919 out=33 (api)
[req #56] 7017ms | in=79970 out=161 (api)
[req #57] 5669ms | in=80250 out=79 (api)
[req #58] 12231ms | in=81355 out=640 (api)
[req #59] 5371ms | in=82031 out=80 (api)
[req #60] 6741ms | in=82146 out=89 (api)
[req #61] 1ms | in=1333 out=0 (estimated) [RETRY]
[req #62] 4810ms | in=82280 out=32 (api)
[req #63] 10602ms | in=82388 out=273 (api)
[req #64] 5403ms | in=82701 out=54 (api)
[req #65] 4960ms | in=83013 out=35 (api)
[req #66] 6969ms | in=83261 out=34 (api)
[req #67] 8562ms | in=104362 out=231 (api)
[req #68] 5859ms | in=83674 out=98 (api)
[req #69] 1ms | in=711 out=0 (estimated) [RETRY]
[req #70] 6146ms | in=83813 out=36 (api)
[req #71] 5449ms | in=83998 out=30 (api)
[req #72] 5009ms | in=84053 out=32 (api)
[req #73] 5808ms | in=84242 out=86 (api)
[req #74] 4919ms | in=84899 out=44 (api)
[req #75] 6392ms | in=85796 out=27 (api)
[req #76] 27241ms | in=86358 out=1991 (api)
[req #77] 5479ms | in=88381 out=55 (api)
[req #78] 5054ms | in=88536 out=36 (api)
[req #79] 5091ms | in=88620 out=28 (api)
[req #80] 6315ms | in=89207 out=27 (api)
[req #81] 20810ms | in=89394 out=1120 (api)
[req #82] 5371ms | in=90747 out=42 (api)
[req #83] 17386ms | in=90911 out=1182 (api)
[req #84] 7850ms | in=113436 out=47 (api)
[req #85] 5754ms | in=92183 out=96 (api)
[req #86] 1ms | in=694 out=0 (estimated) [RETRY]
[req #87] 6395ms | in=92321 out=32 (api)
[req #88] 9830ms | in=92868 out=88 (api)
[req #89] 5721ms | in=93215 out=44 (api)
[req #90] 6220ms | in=93407 out=81 (api)
[req #91] 7413ms | in=93828 out=80 (api)
[req #92] 6390ms | in=94035 out=132 (api)
[req #93] 9380ms | in=115403 out=167 (api)
[req #94] 14158ms | in=95184 out=899 (api)
[req #95] 5847ms | in=96295 out=45 (api)
[req #96] 8320ms | in=96558 out=184 (api)
[req #97] 6050ms | in=96774 out=36 (api)
[req #98] 6664ms | in=96821 out=89 (api)
[req #99] 1ms | in=694 out=0 (estimated) [RETRY]
[req #100] 7095ms | in=96972 out=28 (api)
[req #101] 5848ms | in=97020 out=52 (api)
[req #102] 6998ms | in=97105 out=154 (api)
[req #103] 6100ms | in=97470 out=90 (api)
[req #104] 1ms | in=694 out=0 (estimated) [RETRY]
[req #105] 6308ms | in=97605 out=33 (api)
[req #106] 9216ms | in=120153 out=59 (api)
[req #107] 6116ms | in=99219 out=98 (api)
[req #108] 0ms | in=1342 out=0 (estimated) [RETRY]
[req #109] 5472ms | in=99358 out=36 (api)
[req #110] 7756ms | in=99646 out=48 (api)
[req #111] 7334ms | in=99724 out=113 (api)
[req #112] 1ms | in=234 out=0 (estimated) [RETRY]
[req #113] 5445ms | in=100061 out=29 (api)
[req #114] 6681ms | in=100113 out=30 (api)
[req #115] 7611ms | in=100368 out=92 (api)
[req #116] 9308ms | in=100465 out=91 (api)
[req #117] 1ms | in=1317 out=0 (estimated) [RETRY]
[req #118] 9707ms | in=100597 out=86 (api)
[req #119] 1ms | in=1315 out=0 (estimated) [RETRY]
[req #120] 8417ms | in=100724 out=250 (api)
[req #121] 8060ms | in=101164 out=81 (api)
[req #122] 0ms | in=1157 out=0 (estimated) [RETRY]
[req #123] 8068ms | in=122659 out=50 (api)
[req #124] 8178ms | in=101605 out=202 (api)
[req #125] 7459ms | in=102034 out=171 (api)
[req #126] 7367ms | in=102707 out=96 (api)
[req #127] 5565ms | in=103839 out=28 (api)
[req #128] 36371ms | in=104420 out=2664 (api)
[req #129] 7215ms | in=107296 out=36 (api)
[req #130] 7288ms | in=107342 out=85 (api)
[req #131] 1ms | in=1157 out=0 (estimated) [RETRY]
[req #132] 6999ms | in=107468 out=52 (api)
