date,region,product,category,quantity,unit_price,discount,customer_id,channel
2024-01-01,华北,坚果礼盒N8,食品,6,168.0,0.25,C032,线上
2024-01-01,华东,蓝牙耳机X3,电子产品,8,399.0,0.15,C032,线下
2024-01-01,华南,台灯L1,家居,29,199.0,0.05,C055,线下
2024-01-01,华北,休闲裤K5,服饰,22,299.0,0.2,C027,线上
2024-01-01,华南,蓝牙耳机X3,电子产品,9,399.0,0.1,C078,线下
2024-01-01,西北,坚果礼盒N8,食品,25,168.0,0.2,C069,线上
2024-01-01,西南,台灯L1,家居,28,199.0,0.1,C007,线上
2024-01-01,华东,保温杯S2,家居,29,129.0,0.2,C080,线上
2024-01-01,华东,蛋白粉F2,食品,15,259.0,0.05,C077,线上
2024-01-01,西北,蛋白粉F2,食品,13,259.0,0.25,C064,线上
2024-01-01,华北,台灯L1,家居,8,199.0,0.1,C008,线下
2024-01-01,华中,蓝牙耳机X3,电子产品,3,399.0,0.15,C004,线上
2024-01-01,华中,坚果礼盒N8,食品,12,168.0,0.15,C020,线下
2024-01-01,西北,平板电脑T10,电子产品,5,2499.0,0.15,C036,线上
2024-01-01,东北,运动鞋A7,服饰,28,599.0,0.15,C011,线上
2024-01-01,西北,坚果礼盒N8,食品,15,168.0,0.05,C029,线上
2024-01-01,西南,平板电脑T10,电子产品,17,2499.0,0.15,C034,线上
2024-01-02,华北,保温杯S2,家居,12,129.0,0.25,C056,线上
2024-01-02,西北,坚果礼盒N8,食品,24,168.0,0.2,C052,线上
2024-01-02,东北,台灯L1,家居,23,199.0,0.2,C026,线下
2024-01-02,,平板电脑T10,电子产品,28,2499.0,0.25,C028,线上
2024-01-02,华北,智能手表Pro,电子产品,3,1299.0,0.25,C011,线下
2024-01-02,华南,蛋白粉F2,食品,30,259.0,0.2,C015,线上
2024-01-02,华北,平板电脑T10,电子产品,6,2499.0,0.2,C071,线下
2024-01-02,西南,台灯L1,家居,3,199.0,1.2,C029,线上
2024-01-02,西南,坚果礼盒N8,食品,24,168.0,0.05,C017,线上
2024-01-02,西北,蓝牙耳机X3,电子产品,3,399.0,0.1,C030,线下
2024-01-02,西南,台灯L1,家居,9,199.0,0.25,C024,线上
2024-01-02,华东,台灯L1,家居,27,199.0,0.1,C070,线上
2024-01-03,西南,平板电脑T10,电子产品,20,2499.0,1.2,C039,线下
2024-01-03,华东,保温杯S2,家居,8,129.0,0.05,C073,线下
2024-01-03,华东,台灯L1,家居,18,199.0,0.15,C075,线下
2024-01-03,华东,运动鞋A7,服饰,2,599.0,0.2,C070,线上
2024-01-03,华北,台灯L1,家居,3,199.0,0.15,C066,线上
